passo 59	a = 2	+dist = 0.768115	+ror = 5.9	AV = 0.768115	AV2 = 5.9
passo 60	a = 2	+dist = 0.678233	+ror = 4.6	AV = 0.678233	AV2 = 4.6
passo 61	a = 0	+dist = 0.728011	+ror = 5.3	AV = 0.728011	AV2 = 5.3
passo 62	a = 0	+dist = 0.787401	+ror = 6.2	AV = 0.787401	AV2 = 6.2
passo 63	a = 2	+dist = 0.714143	+ror = 5.1	AV = 0.714143	AV2 = 9.33387e+25
passo 64	a = 0	+dist = 0.787401	+ror = 6.2	AV = 0.787401	AV2 = 6.2
passo 65	a = 4	+dist = 0.781025	+ror = 6.1	AV = 0.781025	AV2 = 6.1
passo 66	a = 1	+dist = 0.707107	+ror = 5	AV = 0.707107	AV2 = 5
passo 67	a = 2	+dist = 0.640312	+ror = 4.1	AV = 0.640312	AV2 = 4.1
passo 68	a = 4	+dist = 0.648074	+ror = 4.2	AV = 0.648074	AV2 = 4.2
passo 69	a = 0	+dist = 0.728011	+ror = 5.3	AV = 0.728011	AV2 = 5.3
passo 70	a = 0	+dist = 0.812404	+ror = 6.6	AV = 0.812404	AV2 = 6.6
passo 71	a = 2	+dist = 0.768115	+ror = 5.9	AV = 0.768115	AV2 = 5.9
passo 72	a = 3	+dist = 0.812404	+ror = 6.6	AV = 0.812404	AV2 = 6.6
passo 73	a = 2	+dist = 0.768115	+ror = 5.9	AV = 0.768115	AV2 = 5.9
passo 74	a = 2	+dist = 0.734847	+ror = 5.4	AV = 0.734847	AV2 = 5.4
passo 75	a = 5	+dist = 0.728011	+ror = 5.3	AV = 0.728011	AV2 = 5.3
passo 76	a = 4	+dist = 0.734847	+ror = 5.4	AV = 0.734847	AV2 = 5.4
passo 77	a = 5	+dist = 0.728011	+ror = 5.3	AV = 0.728011	AV2 = 5.3
passo 78	a = 0	+dist = 0.824621	+ror = 6.8	AV = 0.824621	AV2 = 6.8
passo 79	a = 2	+dist = 0.806226	+ror = 6.5	AV = 0.806226	AV2 = 6.5
passo 80	a = 0	+dist = 0.905539	+ror = 8.2	AV = 0.905539	AV2 = 8.2
passo 81	a = 3	+dist = 0.921954	+ror = 8.5	AV = 0.921954	AV2 = 8.5
passo 82	a = 3	+dist = 0.948683	+ror = 9	AV = 0.948683	AV2 = 9
passo 83	a = 0	+dist = 1.04403	+ror = 10.9	AV = 1.04403	AV2 = 10.9
passo 84	a = 3	+dist = 1.07703	+ror = 11.6	AV = 1.07703	AV2 = 11.6
passo 85	a = 4	+dist = 1.08167	+ror = 11.7	AV = 1.08167	AV2 = 11.7
passo 86	a = 3	+dist = 1.1225	+ror = 12.6	AV = 1.1225	AV2 = 12.6
passo 87	a = 4	+dist = 1.13578	+ror = 12.9	AV = 1.13578	AV2 = 12.9
passo 88	a = 4	+dist = 1.15758	+ror = 13.4	AV = 1.15758	AV2 = 13.4
passo 89	a = 1	+dist = 1.07238	+ror = 11.5	AV = -nan	AV2 = 11.5
passo 90	a = 4	+dist = 1.10454	+ror = 12.2	AV = 1.10454	AV2 = 12.2
passo 91	a = 3	+dist = 1.15326	+ror = 13.3	AV = 1.15326	AV2 = 13.3
passo 92	a = 4	+dist = 1.19164	+ror = 14.2	AV = 1.19164	AV2 = 14.2
passo 93	a = 5	+dist = 1.15326	+ror = 13.3	AV = 1.15326	AV2 = 13.3
passo 94	a = 0	+dist = 1.23288	+ror = 15.2	AV = 1.23288	AV2 = 15.2
passo 95	a = 2	+dist = 1.18743	+ror = 14.1	AV = 1.18743	AV2 = 14.1
passo 96	a = 0	+dist = 1.27279	+ror = 16.2	AV = 1.27279	AV2 = 16.2
passo 97	a = 0	+dist = 1.36015	+ror = 18.5	AV = 1.36015	AV2 = 18.5
passo 98	a = 4	+dist = 1.39284	+ror = 19.4	AV = 1.39284	AV2 = 19.4
passo 99	a = 5	+dist = 1.36015	+ror = 18.5	AV = 1.36015	AV2 = 18.5
passo 100	a = 0	+dist = 1.44914	+ror = 21	AV = 1.44914	AV2 = 21
passo 1	a = 3	+dist = 0.1	+ror = 0.1	AV = 0.2	AV2 = 0.2
passo 2	a = 5	+dist = 0.141421	+ror = 0.2	AV = 0.341421	AV2 = 0.6
passo 3	a = 1	+dist = 0.173205	+ror = 0.3	AV = 0.396812	AV2 = 0.8
passo 4	a = 0	+dist = 0.141421	+ror = 0.2	AV = 0.424264	AV2 = 1
passo 5	a = 3	+dist = 0.223607	+ror = 0.5	AV = 0.523607	AV2 = 1.4
passo 6	a = 3	+dist = 0.316228	+ror = 1	AV = 0.561177	AV2 = 1.6
passo 7	a = 1	+dist = 0.331662	+ror = 1.1	AV = 0.663325	AV2 = 2.2
passo 8	a = 2	+dist = 0.244949	+ror = 0.6	AV = 0.619115	AV2 = 2
passo 9	a = 5	+dist = 0.3	+ror = 0.9	AV = 0.712311	AV2 = 2.6
passo 10	a = 0	+dist = 0.282843	+ror = 0.8	AV = 0.657008	AV2 = 2.2
passo 11	a = 4	+dist = 0.223607	+ror = 0.5	AV = 0.659497	AV2 = 2.4
passo 12	a = 4	+dist = 0.2	+ror = 0.4	AV = 0.574166	AV2 = 1.8
passo 13	a = 5	+dist = 0.223607	+ror = 0.5	AV = 0.659497	AV2 = 2.4
passo 14	a = 4	+dist = 0.2	+ror = 0.4	AV = 0.709902	AV2 = 3
passo 15	a = 2	+dist = 0.1	+ror = 0.1	AV = 0.6	AV2 = 2.6
passo 16	a = 5	+dist = 0.141421	+ror = 0.2	AV = 0.565685	AV2 = 2
passo 17	a = 0	+dist = 0.173205	+ror = 0.3	AV = 0.609095	AV2 = 2.2
passo 18	a = 1	+dist = 0.141421	+ror = 0.2	AV = 0.565685	AV2 = 2
passo 19	a = 1	+dist = 0.173205	+ror = 0.3	AV = 0.53376	AV2 = 1.6
passo 20	a = 2	+dist = 0.141421	+ror = 0.2	AV = 0.515587	AV2 = 1.6
passo 21	a = 4	+dist = 0.1	+ror = 0.1	AV = 0.460555	AV2 = 1.4
passo 22	a = 4	+dist = 0.141421	+ror = 0.2	AV = 0.588635	AV2 = 2.2
passo 23	a = 3	+dist = 0.173205	+ror = 0.3	AV = 0.673205	AV2 = 2.8
passo 24	a = 4	+dist = 0.244949	+ror = 0.6	AV = 0.754851	AV2 = 3.2
passo 25	a = 5	+dist = 0.173205	+ror = 0.3	AV = 0.747661	AV2 = 3.6
passo 26	a = 4	+dist = 0.244949	+ror = 0.6	AV = 0.893023	AV2 = 4.8
passo 27	a = 5	+dist = 0.173205	+ror = 0.3	AV = 0.901216	AV2 = 5.6
passo 28	a = 4	+dist = 0.244949	+ror = 0.6	AV = 0.99328	AV2 = 6.2
passo 29	a = 2	+dist = 0.223607	+ror = 0.5	AV = 1.05427	AV2 = 7.4
passo 30	a = 5	+dist = 0.141421	+ror = 0.2	AV = 0.928822	AV2 = 6.4
passo 31	a = 2	+dist = 0.173205	+ror = 0.3	AV = 0.94132	AV2 = 6.2
passo 32	a = 5	+dist = 0.141421	+ror = 0.2	AV = 0.928822	AV2 = 6.4
passo 33	a = 2	+dist = 0.223607	+ror = 0.5	AV = 0.97859	AV2 = 6.2
passo 34	a = 0	+dist = 0.2	+ror = 0.4	AV = 0.863325	AV2 = 4.8
passo 35	a = 5	+dist = 0.223607	+ror = 0.5	AV = 0.863919	AV2 = 4.6
passo 36	a = 4	+dist = 0.2	+ror = 0.4	AV = 0.863325	AV2 = 4.8
passo 37	a = 2	+dist = 0.3	+ror = 0.9	AV = 1.05498	AV2 = 6.6
passo 38	a = 5	+dist = 0.316228	+ror = 1	AV = 1.10363	AV2 = 7.2
passo 39	a = 1	+dist = 0.331662	+ror = 1.1	AV = 1.1502	AV2 = 7.8
passo 40	a = 5	+dist = 0.374166	+ror = 1.4	AV = 1.2344	AV2 = 8.8
passo 41	a = 0	+dist = 0.360555	+ror = 1.3	AV = 1.17909	AV2 = 8
passo 42	a = 2	+dist = 0.447214	+ror = 2	AV = 1.23461	AV2 = 8.2
passo 43	a = 2	+dist = 0.538516	+ror = 2.9	AV = 1.41601	AV2 = 10.6
passo 44	a = 4	+dist = 0.509902	+ror = 2.6	AV = 1.47944	AV2 = 12
passo 45	a = 3	+dist = 0.412311	+ror = 1.7	AV = 1.35571	AV2 = 10.6
passo 46	a = 0	+dist = 0.424264	+ror = 1.8	AV = 1.46349	AV2 = 12.6
passo 47	a = 0	+dist = 0.458258	+ror = 2.1	AV = 1.48295	AV2 = 12.6
passo 48	a = 2	+dist = 0.547723	+ror = 3	AV = 1.56753	AV2 = 13.4
passo 49	a = 4	+dist = 0.538516	+ror = 2.9	AV = 1.56321	AV2 = 13.4
passo 50	a = 2	+dist = 0.632456	+ror = 4	AV = 1.67169	AV2 = 14.8
passo 51	a = 0	+dist = 0.67082	+ror = 4.5	AV = 1.69552	AV2 = 15
passo 52	a = 1	+dist = 0.632456	+ror = 4	AV = 1.67169	AV2 = 14.8
passo 53	a = 1	+dist = 0.608276	+ror = 3.7	AV = 1.55167	AV2 = 12.6
passo 54	a = 1	+dist = 0.6	+ror = 3.6	AV = 1.44853	AV2 = 10.8
passo 55	a = 2	+dist = 0.7	+ror = 4.9	AV = 1.6434	AV2 = 13.8
passo 56	a = 3	+dist = 0.6	+ror = 3.6	AV = 1.56954	AV2 = 13
passo 57	a = 4	+dist = 0.608276	+ror = 3.7	AV = 1.56222	AV2 = 12.8
passo 58	a = 2	+dist = 0.707107	+ror = 5	AV = 1.56734	AV2 = 12.4
passo 59	a = 0	+dist = 0.714143	+ror = 5.1	AV = 1.48226	AV2 = 11
